D	https://www.nordicsemi.com/Nordic-news/2021/07/Chipolo-ONE-Spot-uses-Nordic-nRF52833-SoC	Chipolo ONE Spot uses Nordic nRF52833 SoC	2026-09-03	Nordic press release; nRF52833, CR2032, 120 dB, 1 yr life; COO quote on why chosen
D	https://github.com/biemster/FindMy/issues/14	Low cost Apple-Airtag clones - biemster/FindMy issue 14	2026-09-03	AliExpress clone teardown: ST17H66 + xtal + 2 caps only, no antenna matching; flashed w/ CH340
D	https://www.macrumors.com/2026/01/26/10-things-to-know-about-the-new-airtag-2/	10+ Things to Know About the New AirTag 2	2026-09-03	AirTag 2 launched 2026-01; $29/$99, UWB2, 1.5x Precision Finding, 50% louder, 11.8 g, CR2032
C	https://github.com/seemoo-lab/openhaystack	OpenHaystack — build your own AirTags (framework)	2026-09-03	Reference framework; firmware only (ESP32/nRF51822), no PCB design files
C	https://github.com/Circuit-Digest/DIY-AirTag	Circuit Digest DIY-AirTag (MDBT50Q-1MV2 nRF52840, ADXL345, buzzer, CR2032)	2026-09-03	PCB/ dir holds "Airtag Gerber.zip" + Airtag/ folder + PNG; EDA tool not stated on listing
C	https://github.com/ruuvi/ruuvitag_hw	RuuviTag hardware repo (Rev A1-A2, B1-B8)	2026-09-03	CC BY-SA 4.0, KiCad, nRF52832, CR2477; 116 stars/43 forks
C	https://github.com/vasimv/Everytag	Everytag — AirTag/Google FMDN emulation firmware + custom beacon hardware	2026-09-03	GPL-3.0; hardware/ dir nRF52833 + BQ51013B Qi + BQ25121A, 50x20x2 mm, LIR2016; PCBWay ~35 USD
C	https://github.com/pix/heystack-nrf5x	heystack-nrf5x — OpenHaystack firmware for nRF51/nRF52	2026-09-03	Firmware only; claims up to 3 years on CR2032
C	https://github.com/espruino/EspruinoBoard	EspruinoBoard — Espruino and Puck.js board schematics	2026-09-03	Puck.js nRF52832 CR2032 open schematics
C	https://adamcatley.com/AirTag	Adam Catley — Apple AirTag reverse engineering	2026-09-03	Teardown BOM: nRF52832, Apple U1, GD25LE32D, BMA280, MAX98357A, TPS62746; LDS antennas
C	https://blog.golioth.io/designing-and-building-an-airtag-clone-a-new-series-from-golioth/	Golioth — Designing and Building an AirTag Clone series	2026-09-03	nRF52840 + Zephyr webinar series
C	https://github.com/Seeed-Studio/OSHW-XIAO-Series	Seeed OSHW XIAO Series hardware files	2026-09-03	XIAO nRF52840 (Sense) 21x17.5 mm, BQ25101 charger
C	https://nrfconnectdocs.nordicsemi.com/ncs/3.3.0-preview2/zephyr/boards/holyiot/holyiot_21014/doc/index.html	Zephyr board support: Holyiot 21014 (nRF52810)	2026-09-03	30 mm dia x 8.4 mm, CR2032, LIS2DH12, RGB LED, button, IP66
D	https://goodix-ble-wiki-en.readthedocs.io/latest/DesignRef/FMNA.Case/Apple%20FindMy%E6%8A%80%E6%9C%AF%E6%96%B9%E6%A1%88.html	Apple Find My Technical Solution - Goodix BLE Knowledge Base	2026-09-03	FMNA footprint 116.7 KB flash / 21.5 KB RAM on GR551x; Apple issues PPID+Token+UUID, pre-burned in factory
D	https://github.com/vasimv/Everytag	Everytag - AirTag/Google FMDN tag emulation firmware	2026-09-03	Runs on nRF52805/810/811/832/833, nRF54L15; names KKM C2/P1/P11/K4P, Minew HCB22E; 40 rotating keys
D	https://www.techinsights.com/blog/apple-airtag-teardown	Apple AirTag Teardown - TechInsights	2026-09-03	nRF52832 WLCSP50 90nm, U1 UWB SiP 16nm, Maxim class-D; "estimated manufacturing cost of USD 10"
D	https://adamcatley.com/AirTag.html	Apple AirTag Reverse Engineering - Adam Catley	2026-09-03	Full part list: nRF52832, BMA280, GD25LE32D, MAX98357AEWL, TPS62746, TLV9001, CR2032 Panasonic
D	https://developer.apple.com/find-my/	Apple - Find My Network Accessory Program	2026-09-03	Official program page; MFi enrolment required
D	https://www.nordicsemi.com/Products/Technologies/Apple-Find-My-network	Apple Find My network - Nordic Semiconductor	2026-09-03	FMN sample supports nRF54L15/nRF52832/833/840; "You will need to have an active MFi licence to be granted access"
D	https://doc.telink-semi.cn/doc/en/software/res/sdk/apple_findmy/findmy_en/	Telink FindMy Network SDK	2026-09-03	FMNA on TLSR921x/951x/922x/952x/827x; 1 MB flash default, reducible to 512 KB; 64 KB RAM
D	https://github.com/biemster/tlsr825x_FindMy	biemster/tlsr825x_FindMy	2026-09-03	Community FindMy firmware for Telink TLSR825x; keys from generate_keys.py, flashed over UART
D	https://www.lcsc.com/product-detail/C519278.html	nRF52810-QCAA-R LCSC	2026-09-03	LCSC price ladder: 1+ $3.1885, 100+ $1.9808, 1000+ $1.7977 (out of stock at fetch)
D	https://www.macobserver.com/news/ifixit-airtag-2-teardown-reveals-louder-speaker-and-new-uwb-chip/	iFixit AirTag 2 Teardown	2026-09-03	AirTag 2 teardown coverage
C	https://github.com/dakhnod/FakeTag	FakeTag — nRF51 firmware compatible with FindMy ecosystem	2026-09-03	MIT; firmware only, no PCB files; 11 commits; Hackaday-featured mailbox sensor
C	https://hackaday.com/2022/05/30/check-your-mailbox-using-the-airtag-infrastructure/	Hackaday: Check Your Mailbox Using The AirTag Infrastructure (2022-05-30)	2026-09-03	Uses cheap generic CR2032 nRF51822 board + vibration sensor
C	https://hackaday.com/2022/02/22/no-privacy-cloning-the-airtag/	Hackaday: No Privacy — Cloning The AirTag (2022-02-22)	2026-09-03	ESP32 clone, no speaker, no serial number; 2000 rotating keys
C	https://makezine.com/projects/find-my-diy-airtag-tracker	Make: Find My — DIY AirTag Tracker (Fabian Braunlein, 2022-12-04)	2026-09-03	ESP32 Huzzah32 or AliExpress nRF51822 beacon + CR2032; no custom PCB files
C	https://github.com/stacksmashing/airtag-hardware	stacksmashing/airtag-hardware — merged AirTag PCB layer images	2026-09-03	No license stated; PCB work credited to David Hulton; 17 stars, 3 commits
C	https://github.com/Sensirion/shtc3_ble_beacon	Sensirion SHTC3 BLE beacon — CR2032 nRF52 beacon	2026-09-03	BSD-3-Clause; schematics + PCB layout + gerbers + STEP housing; nRF5 SDK v17
C	https://github.com/makerdiary/nrf52832-mdk	makerdiary nRF52832-MDK open source dev kit	2026-09-03	MIT; schematic + PCB + STEP for V1.0/V1.1/V2.0
C	https://github.com/NordicPlayground/nrf5-eagle-reference-design	NordicPlayground nRF5 Eagle reference designs	2026-09-03	Eagle + PDF; nRF52832 QFAA, QFAA-DCDC, NFC variants; Nordic-official
C	https://github.com/jacobrosenthal/nrf52-kicad	jacobrosenthal/nrf52-kicad — Nordic QFAA-DCDC via altium2kicad	2026-09-03	KiCad port of Nordic reference design
C	https://github.com/hlord2000/nordic-lib-kicad	nordic-lib-kicad — KiCad symbols/footprints for Nordic parts	2026-09-03	Includes reference design blocks
C	https://github.com/harsh-hw-dev/2.4ghz-ifa-antenna	Reusable 2.4 GHz Inverted-F PCB antenna (Altium lib)	2026-09-03	50 ohm, FR-4, edge placement; Altium symbol/footprint/integrated library
C	https://github.com/TobleMiner/kicad-ifa	kicad-ifa — IFA antenna footprints for KiCad	2026-09-03	Antenna footprint library
C	https://github.com/prasad-dot-ws/ESP32_MIFA_PCB_ANTENNA	ESP32 MIFA PCB antenna footprint for KiCad	2026-09-03	Meandered IFA footprint
C	https://github.com/nideri/nfc_antenna_generator	nfc_antenna_generator — generate NFC antenna module for KiCad	2026-09-03	Parametric NFC coil generator
C	https://github.com/KiCad/kicad-footprints/blob/master/Battery.pretty/BatteryHolder_Keystone_3034_1x20mm.kicad_mod	KiCad footprint: Keystone 3034 CR2032 SMD retainer	2026-09-03	Official KiCad lib; see issue 1896 re contact failures
C	https://github.com/KiCad/kicad-footprints/issues/1896	KiCad issue 1896: BatteryHolder_Keystone_3034 does not make contact	2026-09-03	Reported contact failure, likely soldermask thickness
C	https://github.com/topics/openhaystack	GitHub topic: openhaystack (23 repos)	2026-09-03	Mostly firmware/server; lnf-tag listed as NRF52 lost-and-found tag
C	https://notes.stavros.io/programming/third-party-airtags-research/	Stavros' notes — third party AirTags research (upd. 2024-11-18)	2026-09-03	AliExpress nRF51822 boards; crystal presence affects battery life
C	https://github.com/gargomoma/fakeTec_pcb	fakeTec_pcb — low-cost nRF52840 LoRa Meshtastic board	2026-09-03	NOT a Find My tag (LoRa mesh); gerbers present; ~EUR10 BOM
B	https://github.com/seemoo-lab/openhaystack	OpenHaystack (seemoo-lab)	2026-09-03	Reference impl of Find My offline-finding tag; AGPL-3.0; 13486 stars; last push 2026-08-17 (README-only); macOS app + Mail plugin + nRF51/ESP32/Linux-HCI firmware
B	https://raw.githubusercontent.com/seemoo-lab/openhaystack/main/README.md	OpenHaystack README (raw)	2026-09-03	Saved verbatim to research/fetched/B-openhaystack-README.md; P-224 pairing, losing/finding/searching, firmware table, AGPL licence
B	https://raw.githubusercontent.com/seemoo-lab/openhaystack/main/Firmware/ESP32/main/openhaystack_main.c	openhaystack_main.c ESP32 firmware	2026-09-03	Canonical adv_data[31] byte table, set_addr_from_key, adv interval 1-2 s, ADV_TYPE_NONCONN_IND; saved to fetched/
B	https://raw.githubusercontent.com/seemoo-lab/openhaystack/main/Firmware/ESP32/README.md	OpenHaystack ESP32 firmware README	2026-09-03	PoC only, single static key, ESP32-WROOM/WROVER not S2, ESP-IDF 4.2
B	https://raw.githubusercontent.com/seemoo-lab/openhaystack/main/Firmware/Microbit_v1/README.md	OpenHaystack micro:bit v1 firmware README	2026-09-03	nRF51822 PoC firmware
B	https://arxiv.org/abs/2103.02282	Who Can Find My Devices? (arXiv preprint)	2026-09-03	Heinrich, Stute, Kornhuber, Hollick; submitted 2021-03-03; abstract verbatim
B	https://petsymposium.org/popets/2021/popets-2021-0045.php	PoPETs 2021(3):227-245 landing page	2026-09-03	Canonical venue for the OF security/privacy paper
B	https://www.petsymposium.org/2021/files/papers/issue3/popets-2021-0045.pdf	Who Can Find My Devices? (PETS 2021 PDF)	2026-09-03	PRIMARY: Table 2 adv format, key derivation Eqs 1-4, 15 min key window, 2 s adv interval, 26.3 min median report delay, Table 6 accuracy; pdftotext saved to fetched/
B	https://github.com/dchristl/macless-haystack	Macless-Haystack	2026-09-03	AGPL-3.0; 2169 stars; last push 2026-03-15; v2.7.2 released 2026-03-15; unifies OpenHaystack + biemster/FindMy + FindYou + acalatrava
B	https://raw.githubusercontent.com/dchristl/macless-haystack/main/README.md	Macless-Haystack README	2026-09-03	Docker endpoint + anisette-v3-server; Apple ID with SMS-only 2FA required; ESP32 and nRF5x firmware releases
B	https://raw.githubusercontent.com/dchristl/macless-haystack/main/firmware/nrf5x/README.md	Macless-Haystack nRF5x firmware README	2026-09-03	Battery-optimised acalatrava fork; wakes every 30 min to switch key; nRF51 tested, nRF52 untested; OFFLINEFINDINGPUBLICKEYHERE patch marker
B	https://raw.githubusercontent.com/dchristl/macless-haystack/main/FAQ.md	Macless-Haystack FAQ	2026-09-03	Apple ID "account score" rejections; auth.json; endpoint hardening
B	https://github.com/malmeloo/FindMy.py	FindMy.py	2026-09-03	MIT; 3235 stars; last push 2026-09-01; v0.10.1 2026-06-01; most actively maintained report-fetch library
B	https://github.com/biemster/FindMy	biemster/FindMy	2026-09-03	No licence declared; 719 stars; last push 2024-12-12; firmware dirs for ESP32, Lenze ST17H66, Telink TLSR825X, WCH ch592, BlueZ
B	https://raw.githubusercontent.com/biemster/FindMy/main/README.md	biemster/FindMy README	2026-09-03	"the Lenze 17H66 is found in many 1$ tags obtained from Ali"; anisette-v3-server workflow; free Apple ID + SMS 2FA
B	https://github.com/positive-security/send-my	Send My (Positive Security)	2026-09-03	AGPL-3.0; 1884 stars; last push 2023-11-13; ESP32 upload-only modem over Find My, ~3 bytes/s
B	https://positive.security/blog/send-my	Send My blog post	2026-09-03	Data encoded in advertised public keys; saved to fetched/
B	https://github.com/positive-security/find-you	Find You (Positive Security)	2026-09-03	AGPL-3.0; 1242 stars; last push 2022-02-24; stealth clone iterating 2000 pre-generated keys, 1 beacon per key
B	https://positive.security/blog/find-you	Find You blog post	2026-09-03	Bypass: never-repeated public keys; 2000 keypairs, one beacon per 30 s, key repeats every ~17 h; ESP32+powerbank cheaper than an AirTag
B	https://github.com/acalatrava/openhaystack-firmware	acalatrava alternative nRF firmware	2026-09-03	MIT; 201 stars; last push 2023-12-21; SoftDevice S130/S132 2.0.0, SDK11, nRF51+nRF52
B	https://github.com/pix/heystack-nrf5x	heystack-nrf5x	2026-09-03	No licence declared; 116 stars; last push 2024-11-02; nRF51822/nRF52810/nRF52832 targets, MAX_KEYS up to 500, TX power stepping, DC/DC variants
B	https://github.com/dakhnod/FakeTag	FakeTag (dakhnod)	2026-09-03	MIT; 476 stars; last push 2026-06-22; nRF51 firmware, keys rotate hourly, status byte carries 2 battery bits + 6-bit counter (mailbox sensor)
B	https://github.com/koenvervloesem/openhaystack-zephyr	OpenHaystack Zephyr firmware	2026-09-03	MIT; 90 stars; last push 2022-06-10; single static key, no power management; patchable OFFLINEFINDINGPUBLICKEYHERE! marker
B	https://github.com/seemoo-lab/AirGuard	AirGuard (SEEMOO)	2026-09-03	Apache-2.0; 2488 stars; last push 2026-08-30; Android/iOS anti-tracking scanner, notification in under an hour
B	https://github.com/Dadoum/anisette-v3-server	anisette-v3-server	2026-09-03	No SPDX licence declared; 554 stars; last push 2026-08-01; supplies Apple anisette data so non-Apple hosts can auth to iCloud
B	https://github.com/JJTech0130/pypush	pypush	2026-09-03	NOASSERTION licence; 3772 stars; last push 2026-03-15; the Apple-ID auth breakthrough that made Mac-free report fetching possible
B	https://www.ietf.org/archive/id/draft-ietf-dult-accessory-protocol-00.txt	draft-ietf-dult-accessory-protocol-00	2026-09-03	PRIMARY DULT spec, 4 Nov 2024, Ledvina+Detwiler (Apple), Lazarov+Polatkan (Google); payload table, 15 min / 24 h rotation, 4 s max adv interval, 60 Phon sounder, opcodes
B	https://datatracker.ietf.org/doc/draft-ietf-dult-accessory-protocol/	DULT accessory protocol datatracker	2026-09-03	rev 00, last touched 2025-05-07; still an Internet-Draft, not an RFC
B	https://www.ietf.org/archive/id/draft-ietf-dult-finding-01.txt	draft-ietf-dult-finding-01	2026-09-03	Fossaceca + Rescorla, 5 June 2025; report/lookup protocol for a generic finding network
B	https://www.ietf.org/archive/id/draft-ietf-dult-threat-model-05.txt	draft-ietf-dult-threat-model-05	2026-09-03	Delano et al.; DULT threat model, rev 05 2026-08-06
B	https://datatracker.ietf.org/wg/dult/about/	IETF DULT working group	2026-09-03	Charter and scope of the WG
B	https://www.apple.com/newsroom/2024/05/apple-and-google-deliver-support-for-unwanted-tracking-alerts-in-ios-and-android/	Apple Newsroom, 13 May 2024	2026-09-03	DULT shipped in iOS 17.5 and Android 6.0+; "[Item] Found Moving With You"; Chipolo, eufy, Jio, Motorola, Pebblebee committed
B	https://developer.apple.com/find-my/	Apple Find My for developers	2026-09-03	"enroll in the MFi Program to access the technical specifications"; no public spec download
B	https://mfi.apple.com/en/how-it-works.html	MFi Program - How It Works	2026-09-03	Find My network is an MFi licensed technology; 4-step Product Plan -> Development -> Certification -> Mass Production
B	https://mfi.apple.com/en/faqs.html	MFi Program FAQs	2026-09-03	"The MFi Program is USD $99 ... per membership year"; "This information is only available under NDA"; companies/organizations only
B	https://developer.apple.com/nearby-interaction/	Apple Nearby Interaction with UWB	2026-09-03	NI Accessory Protocol Specification and UWB Interoperability Specification are public downloads; requires your own app, not the Find My app
B	https://wiki.telink-semi.cn/wiki/protocols/Apple-Find-My/	Telink Apple Find-My solution	2026-09-03	Third-party silicon vendor page; "Telink only provides the SDK and support for qualified clients with valid MFi license"; UT/Lost Mode/Play Sound features
B	https://developers.google.com/nearby/fast-pair/specifications/extensions/fmdn	Find Hub Network Accessory Specification (Google)	2026-09-03	PUBLIC spec; 0xFEAA service data, frame 0x40/0x41, 20 or 32 byte EID, ~1024 s rotation, adv at least once every 2 s, DULT mandatory, Network ID 0x02
B	https://eprint.iacr.org/2026/488.pdf	SoK: Offline Finding Protocols for Lightweight Location Tracking	2026-09-03	Kumar, Ortega Perez, Jaeger, Ristenpart, Specter; compares Apple/Google/Samsung/Tile; Delta_conn=15 min, Delta_lost=24 h
B	https://arxiv.org/pdf/2210.14702	Privacy Analysis of Samsung's Crowd-Sourced Bluetooth Location Tracking System	2026-09-03	Samsung SmartThings Find reverse engineering
B	https://www.usenix.org/system/files/usenixsecurity24-yu-tingfeng.pdf	Security and Privacy Analysis of Samsung's Crowd-Sourced BLE Tracking (USENIX Sec 24)	2026-09-03	Peer-reviewed Samsung OF analysis
B	https://arxiv.org/pdf/2510.00350	Security and Privacy Analysis of Tile's Location Tracking Protocol	2026-09-03	Tile protocol reverse engineering by decompiling the Android app
B	https://github.com/lesleyxyz/node-tile	node-tile	2026-09-03	MIT; 40 stars; last push 2025-03-12; reverse-engineered Tile BLE protocol client
B	https://arxiv.org/abs/2606.21067	Snatcher: Apple Find My Network Exposes Your Lost Devices To Strangers	2026-09-03	Submitted 19 Jun 2026; unencrypted BLE adverts, unauthenticated acoustic triggers, slow MAC randomisation on lost Apple devices
B	https://github.com/seemoo-lab/openhaystack/issues/286	openhaystack issue 286 - iOS update impact	2026-09-03	2026-02-06; user on iOS 26.2.1 reports sporadic updates; comment 2026-04-13 lovelyelfpop "Since September 27th 2025, the locations of custom tags have rarely updated"
B	https://github.com/seemoo-lab/openhaystack/issues/283	openhaystack issue 283 - Does this still work?	2026-09-03	Opened 2025-11-06, still open 2026-09; 2026-06-02 comment: ESP32-WROOM advertising but "no reports found"
